,to,from,source
126,"Секретарь повторил ему свое приглашение подписать свое полное и совершенное удовольствие или явное неудовольствие, если паче чаяния чувствует по совести, что дело его есть правое, и намерен в положенное законами время просить по апелляции куда следует.","Секретарё отэнчя мангья лэс тэ подчинэл пэскиро пхэрдо удовольствиё или неудовольствиё, коли лэскиро рэндо сы чячюно, и ёв камэл дро трэбимо законэнца времё тэ мангэл пирэ апеляцыя карик трэби.",dubrovsky
127,Дубровский молчал…,Дубровско сыс штыл.,dubrovsky
128,"Вдруг он поднял голову, глаза его засверкали, он топнул ногою, оттолкнул секретаря с такою силою, что тот упал, и, схватив чернильницу, пустил ею в заседателя.","— Екхатыр ёв газдыя шэро, лэскирэ якха захачинэ, ёв мардя ґэраса дро пато, чиладя секретарёс адасавэ зорьяса, со одова пэя, ухтылы чернильница, мэкья ласа дрэ сэндаристэ.",dubrovsky
129,Все пришли в ужас.,Сарэ пиристрашандынэ.,dubrovsky
130,"«Как! не почитать церковь божию! прочь, хамово племя!»","«Сыр! тэ на почтинэн дэвлэскири кхангири! криг, бэнгано племё!»",dubrovsky
131,"Потом, обратясь к Кирилу Петровичу: «Слыхано дело, ваше превосходительство, – продолжал он, – псари вводят собак в божию церковь! собаки бегают по церкви.","— Отэнчя пхэндя Кирило Петровичёскэ: «Шундло ли адасаво рэндо, тумаро превосходительство, — ракирдя ёв, — джюклярья влыджяна джюклэн дрэ дэвлэскири кхангири! джюкэла прастана пирэ кхангири.",dubrovsky
132,Я вас ужо проучу…»,Мэ тумэн тэрдёвэн высыклякирава...»,dubrovsky
133,Сторожа сбежались на шум и насилу им овладели.,"Спрастандынэпэ ракхибнарья про годлыпэ, и барэ зорьяса урикирдэ Дубровсконэс.",dubrovsky
134,Его вывели и усадили в сани.,Лэс вылыджинэ и тходэ дрэ шлыта.,dubrovsky
135,"Троекуров вышел вслед за ним, сопровождаемый всем судом.","Троекурово выгыя шпэраса пал лэстэ, сэндарья сарэ гынэ тэ пролыджян Троекуровонэс.",dubrovsky
136,"Внезапное сумасшествие Дубровского сильно подействовало на его воображение и отравило его торжество. Судьи, надеявшиеся на его благодарность, не удостоились получить от него ни единого приветливого слова.","Дубровсконэскирэ сумасшествиёстыр лэскэ кэрдяпэ дрэван нашукар и обчярадя лэскиро торжэство — сэндарья, савэ дынэ надея прэ лэскиро отплэскирибэ, на получискирдэ лэстыр ни екх куч лав.",dubrovsky
137,Он в тот же день отправился в Покровское.,Ёв дро одова жэ дывэс традыя дро Покровско.,dubrovsky
138,"Дубровский между тем лежал в постеле; уездный лекарь, по счастию не совершенный невежда, успел пустить ему кровь, приставить пиявки и шпанские мухи. К вечеру ему стало легче, больной пришел в память.","Машкир адава, Дубровско сыс пашло дрэ пасибнытко; уездно састыпнари прэ бахт управиндяпэ тэ мэкэл лэскэ рат, притхови пиявки 15 и шпанска матхья16 — кэ бельвель лэскэ ачья локхэдыр, насвало явья дрэ годы.",dubrovsky
139,"На другой день повезли его в Кистеневку, почти уже ему не принадлежащую.","Прэ вавир дывэс лэс лыджинэ дрэ Кистинёвка, сави ужэ сыс на лэскири.",dubrovsky
140,"Глава III Прошло несколько времени, а здоровье бедного Дубровского всё еще было плохо; правда, припадки сумасшествия уже не возобновлялись, но силы его приметно ослабевали.","Глава III Прогынэ бут дывэса, а чёрорэ Дубровсконэскиро састыпэ уса инкэ сыс накуч.",dubrovsky
141,"Он забывал свои прежние занятия, редко выходил из своей комнаты и задумывался по целым суткам.","Чячё, сумаcшэствиёскирэ припадки ужэ на сыс, нэ ёв тэрдыя уса бутыр бизорьякирэса.",dubrovsky
142,"Егоровна, добрая старуха, некогда ходившая за его сыном, теперь сделалась и его нянькою.","Ёв лыя тэ забистрэл пэскирэ англатунэ залыибэна, редко выджялас пэскирэ комнататыр, и думинэлас пиро пхэрдэ сутки, — Егоровна, куч пхури, сави гарыдыр псирдя пал лэскирэ чявэстэ, акана кэрдяпэ и лэскирэ нянькаса.",dubrovsky
143,"Она смотрела за ним, как за ребенком, напоминала ему о времени пищи и сна, кормила его, укладывала спать.","Ёй придыкхья пал лэстэ сыр палэ тыкнэ чяворэстэ, рипирлас лэскэ, ваш хабэ и соибэ, чяравэлас лэс, утховэлас лэс тэ совэл.",dubrovsky
144,Андрей Гаврилович тихо повиновался ей и кроме ее не имел ни с кем сношения.,"Андреё Гавриловичё тихэс кандэлас ла, и никонэса бутыр на камья тэ розракир.",dubrovsky
145,"Он был не в состоянии думать о своих делах, хозяйственных распоряжениях, и Егоровна увидела необходимость уведомить обо всем молодого Дубровского, служившего в одном из гвардейских пехотных полков и находящегося в то время в Петербурге.","Ёв на могискирдя тэ думин ваш пэскирэ рэнды, хулаибнытка припхэныбэна, и Егоровна удыкхья со трэби тэ дэс тэ джинэл ваш capo тэрнэ Дубровсконэскэ, саво служиндя дрэ екх э гвардиякирэ пехотнонэ полкэндыр и саво сыс дро одова бэрш дрэ Петербурго.",dubrovsky
146,"Итак, отодрав лист от расходной книги, она продиктовала повару Харитону, единственному кистеневскому грамотею, письмо, которое в тот же день и отослала в город на почту.","И адякэ, отрискири листо расходнонэ книгатыр, ёй пхэндя повороскэ Харитоноскэ, саво екх сыс прэ сари Кистенёвка лылварэса тэ чинэл тэл лакири диктовка лыл, саво дро одова жэ дывэс и отбичядя дро форо прэ почта.",dubrovsky
147,Но пора читателя познакомить с настоящим героем нашей повести.,Нэ трэби гиныбнарис тэ поджиндлякирэс чячюнэса дрэ амари лылвари муршэса.,dubrovsky
148,"Владимир Дубровский воспитывался в Кадетском корпусе и выпущен был корнетом в гвардию; отец не щадил ничего для приличного его содержания, и молодой человек получал из дому более, нежели должен был ожидать.","Владимиро Дубровско сыклыя дро кадетско корпусо17 и вымыкно сыс корнетоса18 дрэ гвардия. Дад на жалискирдя ничи ваш лэскиро куч зрикирибэ, и тэрно мануш получискирлас э кхэрэстыр бутыр одолэстыр со ёв банго сыс тэ получискир.",dubrovsky
149,"Будучи расточителен и честолюбив, он позволял себе роскошные прихоти, играл в карты и входил в долги, не заботясь о будущем и предвидя себе рано или поздно богатую невесту, мечту бедной молодости.","Ёв на ракхья ловэ и изрикирлас лэн про барвалэ прихоти; кхэлдя дро патря и вджялас дро длуги, на заботисови ваш англыпэ, и рикири дрэ годы, со сыго или на сыго, а ваш лэскэ явэла барвалы ромны, чёрорэ мечтакиро тэрныпэ.",dubrovsky
150,"Однажды вечером, когда несколько офицеров сидели у него, развалившись по диванам и куря из его янтарей, Гриша, его камердинер, подал ему письмо, коего надпись и печать тотчас поразили молодого человека.","Екхвар бельвеляса, коли кой-кицы офицэрэ сыс бэштэ лэстэ роспэри пиро диванэ и тырдыи лэскирэ янтарендыр19, Гришко, лэскиро камердинеро20, подыя лэскэ лыл, прэ саво чиныбэ и печять екхатыр удивисякирдэ тэрнэ манушэс.",dubrovsky
151,"Он поспешно его распечатал и прочел следующее: «Государь ты наш, Владимир Андреевич, – я, твоя старая нянька, решилась тебе доложить о здоровье папенькином. Он очень плох, иногда заговаривается, и весь день сидит как дитя глупое, а в животе и смерти бог волен. Приезжай ты к нам, соколик мой ясный, мы тебе и лошадей вышлем на Песочное. Слышно, земский суд к нам едет отдать нас под начал Кирилу Петровичу Троекурову, потому что мы, дескать, ихние, а мы искони ваши, – и отроду того не слыхивали.","Ёв сыго роскэрдя лэс, и прогиндя окэ со: «Рай ту амаро Владимиро Андреевичё, — мэ, тыри пхури нянька, решындёмпэ тукэ тэ пхэнав ваш тырэ дадэскиро састыпэ — ёв дрэван насвало, вавир моло заракирлапэ, и capo дывэс бэшто сыр тыкно чяворо нагодьваро — а дро ди и мулыпэ дэвэл хулай — яв ту кэ амэ, чириклоро миро, ясно, амэ тукэ и грэн выбичяваса прэ Песочно — джяла шуньгбэ, со земско сэндо кэ амэ джяла тэ отдэл амэн тэлэ Кирило Петровичёскиро начяло — ваш одова, со хоби амэ лэскирэ, а амэ чячюнэ тумарэ, — и бияныпнастыр адава на шундям.",dubrovsky
152,"– Ты бы мог, живя в Петербурге, доложить о том царю-батюшке, а он бы не дал нас в обиду.","— Ту бы могискирдян дживи дро Петербурго, тэ пхэнэс ваш адава тагарискэ-дадушкаскэ, а ёв на дэлас амэн дрэ обида.",dubrovsky
153,"– Остаюсь твоя верная раба, нянька Орина Егоровна Бузырева. Посылаю мое материнское благословение Грише, хорошо ли он тебе служит? – У нас дожди идут вот ужо друга неделя и пастух Родя помер около Миколина дня».","— Ачявапэ тыри чячюны дынарица, нянька Арина Егоровна Бузырёва».",dubrovsky
154,Владимир Дубровский несколько раз сряду перечитал сии довольно бестолковые строки с необыкновенным волнением.,"Владимиро Дубровско бут молы прогиндя барэ волнениёса адава лыл, саво пхаро сыс тэ полэс.",dubrovsky
155,"Он лишился матери с малолетства и, почти не зная отца своего, был привезен в Петербург на восьмом году своего возраста; со всем тем он романически был к нему привязан и тем более любил семейственную жизнь, чем менее успел насладиться ее тихими радостями.","Ёв тыкнэ бэршэндыр ачьяпэ би дакиро и, почти на джины пэскирэ дадэс, сыс яндло дро Петербург про 8-ко бэрш, а ваш адава ёв романическэс сыс припхандло ко дад, и адалэстыр бутыр камья иритко джиибэ, coca тыкныдыр управиндяпэ тэ пиридживэл лакиро тихо гудлыпэ.",dubrovsky
156,"Мысль потерять отца своего тягостно терзала его сердце, а положение бедного больного, которое угадывал он из письма своей няни, ужасало его.","Дума тэ хаскир пэскирэ дадэс пхарэс откхардяпэ дрэ лэскиро ило, а положение чёрорэ насвалэскиро, саво уґалёлас ёв пэскирэ нянькакирэ лылэстыр, придэлас лэскэ бари страх.",dubrovsky
157,"Он воображал отца, оставленного в глухой деревне, на руках глупой старухи и дворни, угрожаемого каким-то бедствием и угасающего без помощи в мучениях телесных и душевных.","Дрэ лэскиро шэро сыс со о дад ачядо дро кашуко гав, про васта нагодьварэ пхурьятэ и кхэритконэндэ и со лэс трашадэ савьяса-то бидаса и со ёв мэрэла бипомогискирабнискиро дрэ трупоскирэ и дёскирэ мэньки.",dubrovsky
158,Владимир упрекал себя в преступном небрежении.,Владимиро костя пэс пало накуч отлыджяибэ.,dubrovsky
159,"Долго не получал он от отца писем и не подумал о нем осведомиться, полагая его в разъездах или хозяйственных заботах.","Ґара на получискирдя ёв э дадэстыр нисаво известиё и на подумискирдя тэ уґалёл пал лэстэ, думискири со ёв залыно сы хулаибнаскирэ рэндоса.",dubrovsky
160,"Он решился к нему ехать и даже выйти в отставку, если болезненное состояние отца потребует его присутствия.","Ёв екхатыр закамья тэ джял кэ ёв и дажэ тэ выджял дрэ отставка, коли ваш дадэскиро насвалыпэ адава трэбинэ явэла.",dubrovsky
161,"Товарищи, заметя его беспокойство, ушли.","Товаришши, удыкхи со лэскэ на пир пэстэ, угынэ.",dubrovsky
162,"Владимир, оставшись один, написал просьбу об отпуске, – закурил трубку и погрузился в глубокие размышления.","Владимиро, коли ачьяпэ екхджино, чиндя мангипэ ваш отмыкэибэ — затырдыя пипка и лыя тэ думинэл.",dubrovsky
163,Тот же день стал он хлопотать об отпуске и через три дня был уж на большой дороге.,Дро одова жэ дывэс лыя тэ мангэл соб лэс тэ отмэкэн. (Пирдал 3 дывэса сыс ужэ про баро дром.),dubrovsky
164,"Владимир Андреевич приближался к той станции, с которой должен он был своротить на Кистеневку.","Владимиро Андреевичё лыя тэ поджял кэ одоя станцыя, савьятыр банго ёв сыс тэ зрискир прэ Кистенёвка.",dubrovsky
165,"Сердце его исполнено было печальных предчувствий, он боялся уже не застать отца в живых, он воображал грустный образ жизни, ожидающий его в деревне, глушь, безлюдие, бедность и хлопоты по делам, в коих он не знал никакого толку.","Лэскиро ило сыс пхэрдо тангипнаскирэ предчувствиенца, ёв дарандыя со на заухтылла дадэс джидэса, ёв думиндя ваш танго джиибэ, саво дужакирдя лэс дро гав; кашукипэ, биманушварыпэ, чёрорипэ и рэнды пиро хулаибэ, дрэ савэ ёв ничи на джиндя.",dubrovsky
166,"Приехав на станцию, он вошел к смотрителю и спросил вольных лошадей.","Притрадыи прэ станцыя, ёв вгыя ко смотрителё и пучья вольнонэ грэн 21.",dubrovsky
167,"Смотритель осведомился, куда надобно было ему ехать, и объявил, что лошади, присланные из Кистеневки, ожидали его уже четвертые сутки.","Смотрителё уґалыя карик лэскэ трэби тэ джял, и пхэндя, со грая прибичядэ Кистенёвкатыр и дужакирна лэс штарто дывэс.",dubrovsky
168,"Вскоре явился к Владимиру Андреевичу старый кучер Антон, некогда водивший его по конюшне и смотревший за его маленькой лошадкою.","Сыго явья ко Владимиро Андреевичё пхурано шоляри Антоно, саво водиндя лэс дро чяворытка бэрша пирэ штала и придыкхья пал лэскирэ тыкнэ грасторэстэ.",dubrovsky
169,"Антон прослезился, увидя его, поклонился ему до земи, сказал ему, что старый его барин еще жив, и побежал запрягать лошадей.","Антоно зарундя, удыкхи лэс, збандия лэскэ жыко пхув, пхэндя лэскэ, со пхурано лэскиро рай инкэ джидо и прастандыя тэ дэл андрэ грэн.",dubrovsky
170,Владимир Андреевич отказался от предлагаемого завтрака и спешил отправиться.,Владимиро Андреевичё отпхэндяпэ э хабнастыр и камья сыгыдыр тэ уджял.,dubrovsky
171,"Антон повез его проселочными дорогами, и между ими завязался разговор.",Антоно лыджия лэс тыкнэ дромэнца — и машкир лэндэ запхандяпэ ракирибэ.,dubrovsky
172,"– Скажи, пожалуйста, Антон, какое дело у отца моего с Троекуровым?","— Пхэн, Антоно, саво рэндо мирэ дадэстэ Троекуровонэса?",dubrovsky
173,"– А бог их ведает, батюшка Владимир Андреевич…","— А дэвэл лэн дживэл Владимиро Андреевичё — рай, шунэс, роскостяпэ Кирилоса Петровичёса, а одова и подыя дро сэндо — хоть ёв бут молы кокоро пэскэ сы сэндариса.",dubrovsky
174,"Барин, слышь, не поладил с Кирилом Петровичем, а тот и подал в суд, хотя по часту он сам себе судия. Не наше холопье дело разбирать барские воли, а ей-богу, напрасно батюшка ваш пошел на Кирила Петровича, плетью обуха не перешибешь.","На амаро дынаренгиро рэндо тэ роскэдас рангирэ рэнды, а бах-мангэ ивья дад тыро гыя прэ Кирило Петровичёстэ, чюпняса састэр на пиримарэса.",dubrovsky
175,"– Так, видно, этот Кирила Петрович у вас делает что хочет?",— Так ґалёв адава Кирило Петровичё — тумэндэ кэрла со камэл?,dubrovsky
176,"– И вестимо, барин: заседателя, слышь, он и в грош не ставит, исправник у него на посылках. Господа съезжаются к нему на поклон, и то сказать, было бы корыто, а свиньи-то будут.","— Ґалёв со адякэ, рай — сэндарис, шунэс, ёв и дрэ гасприн на тиминякирла, исправнико22 лэстэ прастала карик бичявэла лэс — рая зджяна кэ ёв про поклоно, и адякэ тэ пхэнэс, тэ явэл корыто, а былыче явэна.",dubrovsky
177,"– Правда ли, что отымает он у нас имение?","— Чячё ли, со ёв тумэндыр филатин откэдэла?",dubrovsky
178,"– Ох, барин, слышали так и мы. На днях покровский пономарь сказал на крестинах у нашего старосты: полно вам гулять; вот ужо приберет вас к рукам Кирила Петрович.","—	Ох, рая, шундям и амэ адякэ — про дывэса покровско пономарё23 пхэндя коли болдя24 амарэ старостастэ: явэла тумэнгэ хачита тэ гулинэн; акэ потэрдён прикэдэла тумэн ко васта Кирило Петровичё.",dubrovsky
179,"Микита кузнец и сказал ему: и полно, Савельич, не печаль кума, не мути гостей. Кирила Петрович сам по себе, а Андрей Гаврилович сам по себе, а все мы божьи да государевы; да ведь на чужой рот пуговицы не нашьешь.","Микита фаурнари и пхэндя лэскэ: и явэла, Савельичё, на тангискир э киривэс, на холякир гостен — Кирило Петровичё кокоро пир пэстэ, — а Андреё Гавриловичё кокоро пир пэстэ — а сарэ амэ дэвлэскирэ тэ тагарискирэ; нэ тэ про чюжо муй пуговка на присывэса.",dubrovsky
180,"– Стало быть, вы не желаете перейти во владение Троекурову?",— Так тумэ на камэн тэ пириджян ко Троекурово?,dubrovsky
181,"– Во владение Кирилу Петровичу! Господь упаси и избави: у него часом и своим плохо приходится, а достанутся чужие, так он с них не только шкурку, да и мясо-то отдерет.","— Дро владениё Кирило Петровичёскэ! о дэвэл тэ заракхэл — лэстэ одой и пэскирэнгэ приджялапэ дрэван нашукар, а дорэсэнапэ напэскирэ, так ёв лэндыр на только цыпа, а и мас зрискирла.",dubrovsky
182,"Нет, дай бог долго здравствовать Андрею Гавриловичу, а коли уж бог его приберет, так не надо нам никого, кроме тебя, наш кормилец.","— На, дэ дэвла длугэс тэ дживэл Андрэёскэ Гаврилоловичёскэ, а коли уж дэвэл лэс прикэдэла, так на трэби амэнгэ никонэс, мамуй тутэ, амаро чириклоро.",dubrovsky
183,"Не выдавай ты нас, а мы уж за тебя станем.","На выдэ ту амэн, а амэ уж пал тутэ потэрдёваса.",dubrovsky
184,"– При сих словах Антон размахнул кнутом, тряхнул вожжами, и лошади его побежали крупной рысью.","Ракири адякэ Антоно чиладя чюпняса, подухтылдя чюнгля, и грая лэскирэ прастандынэ сыгонэ рысяса.",dubrovsky
185,"Тронутый преданностию старого кучера, Дубровский замолчал и предался снова размышлениям.","Заухтылдо пхурэ шолярискирэ лавэнца, Дубровско ачья штыл — и придыяпэ пэскирэ думэнгэ.",dubrovsky
186,"Прошло более часа, вдруг Гриша пробудил его восклицанием: «Вот Покровское!»",Прогыя бутыр мардэстыр — екхатыр Гришко розджингадя лэс годлыпнаса: Акэ Покровско!,dubrovsky
187,"Дубровский поднял голову. Он ехал берегом широкого озера, из которого вытекала речка и вдали извивалась между холмами; на одном из них над густою зеленью рощи возвышалась зеленая кровля и бельведер огромного каменного дома, на другом пятиглавая церковь и старинная колокольня; около разбросаны были деревенские избы с их огородами и колодезями.","Дубровско газдыя шэро — ёв гыя буґлэ лэнякирэса брэгоса, савэстыр выпрастандыя рэка и хасия дро дурипэ машкир бэрги — прэ екх лэндыр газдыяпэ зэлэно кровля и вышка про дрэван баро баруно кхэр — прэ вавир панджэглавытко кхангири и пхураны кудунитко — пашыл росчюрдынэ сыс гавитка кхэрорэ лэнгирэ огородэнца и ганыгэнца.",dubrovsky
188,"Дубровский узнал сии места; он вспомнил, что на сем самом холму играл он с маленькой Машей Троекуровой, которая была двумя годами его моложе и тогда уже обещала быть красавицей.","Дубровско уґалыя адалэ штэты — ёв взрипирдя, со прэ само бэрга кхэлдя ёв тыкнэ Машаса Троекуровонаса, сави сыс дуе бэршэнца тэрнэдыр лэстыр и одова моло ужэ дыкхно сыс со ёй явэла дрэван гожо.",dubrovsky
189,"Он хотел об ней осведомиться у Антона, но какая-то застенчивость удержала его.","Ёв камья тэ пучел пал латэ Антоностэ, нэ сави-то ладж урикирдя лэс.",dubrovsky
190,"Подъехав к господскому дому, он увидел белое платье, мелькающее между деревьями сада.","Подгыи кэ рангиро кхэр, ёв удыкхья дрэ унта машкир дрэвы парны идя.",dubrovsky
191,"В это время Антон ударил по лошадям и, повинуясь честолюбию, общему и деревенским кучерам как и извозчикам, пустился во весь дух через мост и мимо села. Выехав из деревни, поднялись они на гору, и Владимир увидел березовую рощу и влево на открытом месте серенький домик с красной кровлею; сердце в нем забилось; перед собою видел он Кистеневку и бедный дом своего отца.","Дрэ адава времё Антоно дыя пирэ грэндэ и мэкьяпэ дрэ сари грэнгири зор пирдал пато и мамуй гав — выгыи гавэстыр, ёнэ газдынэпэ прэ бэрга, и Владимиро удыкхья брэзытко вэш, и дро лево про откэрдо штэто набаро кхэроро лолэ упралыпнаса; ило дрэ лэстэ замардяпэ — ангил пэстэ ёв дыкхья Кистенёвка и чёроро пэскирэ дадэскиро кхэр.",dubrovsky
192,Через десять минут въехал он на барский двор.,Пирдал 10 мэнты ёв вгыя прэ рангиро кхэр.,dubrovsky
193,Он смотрел вокруг себя с волнением неописанным.,Ёв дыкхья пашыл пэстэ барэ волнениёса.,dubrovsky
194,Двенадцать лет не видал он своей родины.,Дэшудуй бэрша на дыкхья ёв пэскири родина.,dubrovsky
195,"Березки, которые при нем только что были посажены около забора, выросли и стали теперь высокими ветвистыми деревьями.","Брэзыцы, савэ сыс только-со тходэ пашыл заборо коли ёв сыс кхэрэ, выбаринэ и ачнэ акана ученца ветвистонэ дрэвенца.",dubrovsky
196,"Двор, некогда украшенный тремя правильными цветниками, меж коими шла широкая дорога, тщательно выметаемая, обращен был в некошеный луг, на котором паслась опутанная лошадь.","Грэда прэ сави сыс кэрдэ гожа цветникэ, машкир савэндэ гыя буґло дром и саво шукар вышулавэласпэ, кэрдяпэ лэнгоса, прэ саво ракхьяпэ спэнтындло грай.",dubrovsky
197,"Собаки было залаяли, но, узнав Антона, умолкли и замахали косматыми хвостами.","Джюкэла было забашнэ, нэ уґалыи Антонос, ачнэ штыл и завилиндлэ порьенца.",dubrovsky
198,Дворня высыпала из людских изоб и окружила молодого барина с шумными изъявлениями радости.,Кхэритка выгынэ штубэндыр и радымаса тэрдэ сыс пашыл тэрнэ растэ.,dubrovsky
199,Насилу мог он продраться сквозь их усердную толпу и взбежал на ветхое крыльцо; в сенях встретила его Егоровна и с плачем обняла своего воспитанника.,"Зорьяса ёв прокэдыяпэ сквозь манушэндэ, и впрастандыя про пхурано крыльцо. Дро трэмо лэс встретиндя Егоровна и роиндой облэя пэскирэ воспитанникос.",dubrovsky
200,"«Здорово, здорово, няня, – повторял он, прижимая к сердцу добрую старуху, – что батюшка, где он? каков он?»","—	Тэ явэс джиды, тэ явэс джиды, няня, — ракирдя ёв, притасави ко ило пхурья, —со дад, кай ёв? Саво ёв?",dubrovsky
201,"В эту минуту в залу вошел, насилу передвигая ноги, старик высокого роста, бледный и худой, в халате и колпаке.","Дрэ адая мэнта дро зало вгыя пирдал зор пиритхови ґэра, учё пхуро, парно и шуко, дро халато и колпако.",dubrovsky
202,"– Здравствуй, Володька! – сказал он слабым голосом, и Владимир с жаром обнял отца своего.","—	Тэ явэс джидо, Володька! — пхэндя ёв бизорьякирэ глосаса, и Владимиро хачкирдэс облыя пэскирэ дадэс.",dubrovsky
203,"Радость произвела в больном слишком сильное потрясение, он ослабел, ноги под ним подкосились, и он бы упал, если бы сын не поддержал его. – Зачем ты встал с постели, – говорила ему Егоровна, – на ногах не стоишь, а туда же норовишь, куда и люди.","Насвало дрэван обрадысалыя и адава потринскирдя лэс, ёв кэрдяпэ бизорьякирэса, ґэра тал лэстэ подбандинэ, и ёв пэрлас, колиб тэ на подрикир лэс о чяво: — Пал со тумэ газдынэпэ пасибнаскирьятыр, — ракирдя лэскэ Егоровна, — про ґэра нанэ тэрдо, а одорик жэ камэл, карик и мануша.",dubrovsky
204,Старика отнесли в спальню.,Пхурэс отлыджинэ дрэ соибнытко.,dubrovsky
205,"Он силился с ним разговаривать, но мысли мешались в его голове, и слова не имели никакой связи.","Ёв камья лэса тэ ракир, нэ годы пэнтындяпэ лэстэ дро шэро, и дро лава на сыс нисаво спхандыпэ.",dubrovsky
206,Он замолчал и впал в усыпление.,Ёв ачья штыл и засутя.,dubrovsky
207,Владимир поражен был его состоянием.,Владимиро паражоно сыс лэскирэ састыпнаса.,dubrovsky
208,Он расположился в его спальне и просил оставить его наедине с отцом.,Ёв ачьяпэ дрэ лэскири соибнаскири — и мангья тэ ачявэн лэс екхджиннэс дадэса.,dubrovsky
209,"Домашние повиновались, и тогда все обратились к Грише и повели в людскую, где и угостили его по-деревенскому, со всевозможным радушием, измучив его вопросами и приветствиями.","Кхэритка кандынэ и сарэ приячнэ ко Гришко, и лыджинэ дрэ манушытко, кай и угостиндлэ лэс пиро гавитко, дёстыр, змэнькири лэс пучибнаса.",dubrovsky
210,"Глава IV Где стол был яств, там гроб стоит. Несколько дней спустя после своего приезда молодой Дубровский хотел заняться делами, но отец его был не в состоянии дать ему нужные объяснения; у Андрея Гавриловича не было поверенного.","Глава IV Кай скаминд сыс пхэрдо хабнанца, одой муло пашло25 Набут дывэса змэки после одова сыр авья тэрно Дубровско, ёв камья тэ залэлпэ рэндэнца, нэ лэскиро дад на могискирдя тэ роспхэнэл лэскэ ничи — Андреёстэ Гавриловичёстэ на сыс повереннонэс.",dubrovsky
211,"Разбирая его бумаги, нашел он только первое письмо заседателя и черновой ответ на оное; из того не мог он получить ясное понятие о тяжбе и решился ожидать последствий, надеясь на правоту самого дела.","Роскэдыи лэскирэ лыла, латхья ёв только пэрво сэндарискиро лыл и ответо прэ адава пучибэ — савэстыр ёв на могискирдя тэ полэл и решиндя тэ дужакир со явэла дурыдыр, рикири надея прэ рэндоскиро чячипэ.",dubrovsky
212,Между тем здоровье Андрея Гавриловича час от часу становилось хуже.,Машкир адава Андреёскиро Гавриловичёскиро састыпэ тэрдыя уса дылныдыр.,dubrovsky
213,"Владимир предвидел его скорое разрушение и не отходил от старика, впадшего в совершенное детство.","Владимиро дыкхья, со ёв сыго мэрла и на отгыя пхурэстыр, саво ачья сыр тыкно чяворо.",dubrovsky
214,"Между тем положенный срок прошел, и апелляция не была подана.","Машкир одова тходо сроко прогыя, и апеляцыя на сыс подыны.",dubrovsky
215,"Кистеневка принадлежала Троекурову. Шабашкин явился к нему с поклонами и поздравлениями и просьбою назначить, когда угодно будет его высокопревосходительству вступить во владение новоприобретенным имением – самому или кому изволит он дать на то доверенность. Кирила Петрович смутился.",Кистенёвка сыс Троекуровонэскири — Шабашкино явья кэ ёв поклонэнца и поздравлениенца и мангипнаса дрэ саво дывэс явэла трэби лэскирэ превосходительствоскэ тэ прилэл дро владениё нэви филатин — кокорэскэ или конэскэ тэ дэл ваш адава патяибэ — Кирилос Петровичёс лыя ладж.,dubrovsky
216,"От природы не был он корыстолюбив, желание мести завлекло его слишком далеко, совесть его роптала.","Природатыр ёв на сыс жадно, камаибэ тэ отплэскир залыджия лэс дрэван дур, дрэ лэстэ ґаздыяпэ ладж.",dubrovsky
217,"Он знал, в каком состоянии находился его противник, старый товарищ его молодости, и победа не радовала его сердце.","Ёв джиндя, со лэскиро ворого сыс насвало, пхурано товаришшо лэскирэ тэрныпнаскиро — и победа на радысакирдя лэскиро ило.",dubrovsky
218,"Он грозно взглянул на Шабашкина, ища к чему привязаться, чтоб его выбранить, но не нашед достаточного к тому предлога, сказал ему сердито: «Пошел вон, не до тебя».","Ёв холяса вздыкхья прэ Шабашкиностэ, родыи кэ со тэ припхандэлпэ, соб тэ выкошэл лэс — нэ на латхья кэ со тэ припхандэлпэ и пхэндя холямэс: — Джя яври, на кэ ту.",dubrovsky
219,"Шабашкин, видя, что он не в духе, поклонился и спешил удалиться.","Шабашкино дыкхи, со ёв дрэ холы, кэрдя шэрэса и сыгэс угыя.",dubrovsky
220,"А Кирила Петрович, оставшись наедине, стал расхаживать взад и вперед, насвистывая: «Гром победы раздавайся», что всегда означало в нем необыкновенное волнение мыслей.","А Кирило Петровичё, коли ачьяпэ екхджино, псирдя англэ и палэ, шолякири: Победакиро громо роздэпэ, адава сыкавэлас, со лэскэ на пир пэстэ.",dubrovsky
